Data Source,World Development Indicators,field_3,forest_num
Country Name,Country Code,Percentage,
Aruba,ABW,"2.333333333",2.33333
Africa Eastern and Southern,AFE,"30.17418563",30.17419
Afghanistan,AFG,"1.852781994",1.85278
Africa Western and Central,AFW,"19.81677741",19.81678
Angola,AGO,"53.42695115",53.42695
Albania,ALB,"28.7919708",28.79197
Andorra,AND,"34.04255319",34.04255
Arab World,ARB,"2.808895261",2.80890
United Arab Emirates,ARE,"4.467755562",4.46776
Argentina,ARG,"10.44071488",10.44071
Armenia,ARM,"11.5374078",11.53741
American Samoa,ASM,"85.65",85.65000
Antigua and Barbuda,ATG,"18.45454545",18.45455
Australia,AUS,"17.42131456",17.42131
Austria,AUT,"47.25096946",47.25097
Azerbaijan,AZE,"13.69418968",13.69419
Burundi,BDI,"10.8894081",10.88941
Belgium,BEL,"22.76420079",22.76420
Benin,BEN,"27.80374246",27.80374
Burkina Faso,BFA,"22.72076023",22.72076
Bangladesh,BGD,"14.46877161",14.46877
Bulgaria,BGR,"35.86035372",35.86035
Bahrain,BHR,"0.891719745",0.89172
"Bahamas, The",BHS,"50.93506494",50.93506
Bosnia and Herzegovina,BIH,"42.73261719",42.73262
Belarus,BLR,"43.19440339",43.19440
Belize,BLZ,"55.98640947",55.98641
Bermuda,BMU,"18.51851852",18.51852
Bolivia,BOL,"46.92491461",46.92491
Brazil,BRA,"59.41747805",59.41748
Barbados,BRB,"14.65116279",14.65116
Brunei Darussalam,BRN,"72.10626186",72.10626
Bhutan,BTN,"71.44939696",71.44940
Botswana,BWA,"26.91705045",26.91705
Central African Republic,CAF,"35.80050724",35.80051
Canada,CAN,"38.69551251",38.69551
Central Europe and the Baltics,CEB,"34.55928473",34.55928
Switzerland,CHE,"32.11633355",32.11633
Channel Islands,CHI,,
Chile,CHL,"24.49215367",24.49215
China,CHN,"23.3405957",23.34060
Cote d'Ivoire,CIV,"8.920471698",8.92047
Cameroon,CMR,"43.02951069",43.02951
"Congo, Dem. Rep.",COD,"55.64731259",55.64731
"Congo, Rep.",COG,"64.26354319",64.26354
Colombia,COL,"53.30501127",53.30501
Comoros,COM,"17.68941429",17.68941
Cabo Verde,CPV,"11.34491315",11.34491
Costa Rica,CRI,"59.43732863",59.43733
Caribbean small states,CSS,"89.82072372",89.82072
Cuba,CUB,"31.23314066",31.23314
Curacao,CUW,"0.157657658",0.15766
Cayman Islands,CYM,"53",53.00000
Cyprus,CYP,"18.67207792",18.67208
Czechia,CZE,"34.67799193",34.67799
Germany,DEU,"32.68267552",32.68268
Djibouti,DJI,"0.250215703",0.25022
Dominica,DMA,"63.82666667",63.82667
Denmark,DNK,"15.711",15.71100
Dominican Republic,DOM,"44.3821155",44.38212
Algeria,DZA,"0.81830896",0.81831
East Asia & Pacific (excluding high income),EAP,"30.42633164",30.42633
Early-demographic dividend,EAR,"22.78345441",22.78345
East Asia & Pacific,EAS,"27.13931223",27.13931
Europe & Central Asia (excluding high income),ECA,"39.51907489",39.51907
Europe & Central Asia,ECS,"38.5204666",38.52047
Ecuador,ECU,"50.32142857",50.32143
"Egypt, Arab Rep.",EGY,"0.045185594",0.04519
Euro area,EMU,"38.675211",38.67521
Eritrea,ERI,"8.71821524",8.71822
Spain,ESP,"37.17730549",37.17731
Estonia,EST,"57.03859649",57.03860
Ethiopia,ETH,"15.12398953",15.12399
European Union,EUU,"39.84321415",39.84321
Fragile and conflict affected situations,FCS,"23.03087661",23.03088
Finland,FIN,"73.72836744",73.72837
Fiji,FJI,"62.39846743",62.39847
France,FRA,"31.50904837",31.50905
Faroe Islands,FRO,"0.058565154",0.05857
"Micronesia, Fed. Sts.",FSM,"92.02857143",92.02857
Gabon,GAB,"91.32068149",91.32068
United Kingdom,GBR,"13.18563221",13.18563
Georgia,GEO,"40.61591596",40.61592
Ghana,GHA,"35.09693099",35.09693
Gibraltar,GIB,"0",0.00000
Guinea,GIN,"25.18720495",25.18720
"Gambia, The",GMB,"23.97924901",23.97925
Guinea-Bissau,GNB,"70.4128734",70.41287
Equatorial Guinea,GNQ,"87.28770053",87.28770
Greece,GRC,"30.26997673",30.26998
Grenada,GRD,"52.05882353",52.05882
Greenland,GRL,"0.000535997",0.00054
Guatemala,GTM,"32.92086599",32.92087
Guam,GUM,"51.85185185",51.85185
Guyana,GUY,"93.5501143",93.55011
High income,HIC,"29.32669168",29.32669
"Hong Kong SAR, China",HKG,,
Honduras,HND,"56.83492716",56.83493
Heavily indebted poor countries (HIPC),HPC,"27.10778864",27.10779
Croatia,HRV,"34.65171551",34.65172
Haiti,HTI,"12.60159652",12.60160
Hungary,HUN,"22.49627438",22.49627
IBRD only,IBD,"33.92662366",33.92662
IDA & IBRD total,IBT,"31.75180886",31.75181
IDA total,IDA,"25.57608156",25.57608
IDA blend,IDB,"29.75449184",29.75449
Indonesia,IDN,"49.07178037",49.07178
IDA only,IDX,"24.68854619",24.68855
Isle of Man,IMN,"6.070175439",6.07018
India,IND,"24.27022827",24.27023
Not classified,INX,,
Ireland,IRL,"11.35172013",11.35172
"Iran, Islamic Rep.",IRN,"6.626730354",6.62673
Iraq,IRQ,"1.900361184",1.90036
Iceland,ISL,"0.509273034",0.50927
Israel,ISR,"6.469500924",6.46950
Italy,ITA,"32.34893496",32.34893
Jamaica,JAM,"55.11449677",55.11450
Jordan,JOR,"1.098047165",1.09805
Japan,JPN,"68.40877915",68.40878
Kazakhstan,KAZ,"1.279653295",1.27965
Kenya,KEN,"6.344818498",6.34482
Kyrgyz Republic,KGZ,"6.858081335",6.85808
Cambodia,KHM,"45.7079651",45.70797
Kiribati,KIR,"1.456790123",1.45679
St. Kitts and Nevis,KNA,"42.30769231",42.30769
"Korea, Rep.",KOR,"64.41598361",64.41598
Kuwait,KWT,"0.350729517",0.35073
Latin America & Caribbean (excluding high income),LAC,"47.41986672",47.41987
Lao PDR,LAO,"71.9042461",71.90425
Lebanon,LBN,"14.01075269",14.01075
Liberia,LBR,"79.08471761",79.08472
Libya,LBY,"0.123327688",0.12333
St. Lucia,LCA,"34.04918033",34.04918
Latin America & Caribbean,LCN,"46.51100555",46.51101
Least developed countries: UN classification,LDC,"26.23782517",26.23783
Low income,LIC,"22.25627293",22.25627
Liechtenstein,LIE,"41.875",41.87500
Sri Lanka,LKA,"34.15809893",34.15810
Lower middle income,LMC,"25.20859815",25.20860
Low & middle income,LMY,"31.6579878",31.65799
Lesotho,LSO,"1.137022398",1.13702
Late-demographic dividend,LTE,"39.49790018",39.49790
Lithuania,LTU,"35.14851485",35.14851
Luxembourg,LUX,"34.45382721",34.45383
Latvia,LVA,"54.80941668",54.80942
"Macao SAR, China",MAC,,
St. Martin (French part),MAF,"24.8",24.80000
Morocco,MAR,"12.86688326",12.86688
Monaco,MCO,"0",0.00000
Moldova,MDA,"11.75322187",11.75322
Madagascar,MDG,"21.36440358",21.36440
Maldives,MDV,"2.733333333",2.73333
Middle East & North Africa,MEA,"2.05089672",2.05090
Mexico,MEX,"33.79309139",33.79309
Marshall Islands,MHL,"52.22222222",52.22222
Middle income,MIC,"33.55168173",33.55168
North Macedonia,MKD,"39.71015067",39.71015
Mali,MLI,"10.89666363",10.89666
Malta,MLT,"1.4375",1.43750
Myanmar,MMR,"43.73403098",43.73403
Middle East & North Africa (excluding high income),MNA,"2.496967229",2.49697
Montenegro,MNE,"61.48698885",61.48699
Mongolia,MNG,"9.099658488",9.09966
Northern Mariana Islands,MNP,"52.95652174",52.95652
Mozambique,MOZ,"46.72519647",46.72520
Mauritania,MRT,"0.30348307",0.30348
Mauritius,MUS,"19.09852217",19.09852
Malawi,MWI,"23.77704709",23.77705
Malaysia,MYS,"58.17695937",58.17696
North America,NAC,"36.25693036",36.25693
Namibia,NAM,"8.06386571",8.06387
New Caledonia,NCL,"45.84354486",45.84354
Niger,NER,"0.852372306",0.85237
Nigeria,NGA,"23.74578653",23.74579
Nicaragua,NIC,"28.31585508",28.31586
Netherlands,NLD,"10.97416097",10.97416
Norway,NOR,"33.43535968",33.43536
Nepal,NPL,"41.59072201",41.59072
Nauru,NRU,"0",0.00000
New Zealand,NZL,"37.57012647",37.57013
OECD members,OED,"32.76024197",32.76024
Oman,OMN,"0.008077544",0.00808
Other small states,OSS,"28.72396467",28.72396
Pakistan,PAK,"4.833307389",4.83331
Panama,PAN,"56.80560798",56.80561
Peru,PER,"56.50810156",56.50810
Philippines,PHL,"24.10903176",24.10903
Palau,PLW,"90.02173913",90.02174
Papua New Guinea,PNG,"79.17625756",79.17626
Poland,POL,"30.9770359",30.97704
Pre-demographic dividend,PRE,"25.81166597",25.81167
Puerto Rico,PRI,"55.95603157",55.95603
"Korea, Dem. People's Rep.",PRK,"50.07964455",50.07964
Portugal,PRT,"36.15499489",36.15499
Paraguay,PRY,"40.52922225",40.52922
West Bank and Gaza,PSE,"1.684385382",1.68439
Pacific island small states,PSS,"68.48511302",68.48511
Post-demographic dividend,PST,"32.11086801",32.11087
French Polynesia,PYF,"43.05963699",43.05964
Qatar,QAT,"0",0.00000
Romania,ROU,"30.11582928",30.11583
Russian Federation,RUS,"49.78433608",49.78434
Rwanda,RWA,"11.18767734",11.18768
South Asia,SAS,"18.82105482",18.82105
Saudi Arabia,SAU,"0.454484135",0.45448
Sudan,SDN,"9.828452891",9.82845
Senegal,SEN,"41.90598868",41.90599
Singapore,SGP,"21.68523677",21.68524
Solomon Islands,SLB,"90.13826367",90.13826
Sierra Leone,SLE,"35.11886949",35.11887
El Salvador,SLV,"28.17953668",28.17954
San Marino,SMR,"16.66666667",16.66667
Somalia,SOM,"9.532311028",9.53231
Serbia,SRB,"31.13023096",31.13023
Sub-Saharan Africa (excluding high income),SSA,"26.25167107",26.25167
South Sudan,SSD,"11.32562151",11.32562
Sub-Saharan Africa,SSF,"26.25257619",26.25258
Small states,SST,"39.63577446",39.63577
Sao Tome and Principe,STP,"54.0625",54.06250
Suriname,SUR,"97.41211538",97.41212
Slovak Republic,SVK,"40.05615641",40.05616
Slovenia,SVN,"61.47225919",61.47226
Sweden,SWE,"68.69907031",68.69907
Eswatini,SWZ,"28.92790698",28.92791
Sint Maarten (Dutch part),SXM,"10.88235294",10.88235
Seychelles,SYC,"73.26086957",73.26087
Syrian Arab Republic,SYR,"2.843108425",2.84311
Turks and Caicos Islands,TCA,"11.07368421",11.07368
Chad,TCD,"3.425190597",3.42519
East Asia & Pacific (IDA & IBRD countries),TEA,"30.27678986",30.27679
Europe & Central Asia (IDA & IBRD countries),TEC,"39.29936475",39.29936
Togo,TGO,"22.23331495",22.23331
Thailand,THA,"38.89878447",38.89878
Tajikistan,TJK,"3.053534116",3.05353
Turkmenistan,TKM,"8.782159045",8.78216
Latin America & the Caribbean (IDA & IBRD countries),TLA,"46.58804602",46.58805
Timor-Leste,TLS,"61.94351042",61.94351
Middle East & North Africa (IDA & IBRD countries),TMN,"2.497534136",2.49753
Tonga,TON,"12.43055556",12.43056
South Asia (IDA & IBRD),TSA,"18.82105482",18.82105
Sub-Saharan Africa (IDA & IBRD countries),TSS,"26.25257619",26.25258
Trinidad and Tobago,TTO,"44.48148148",44.48148
Tunisia,TUN,"4.523236354",4.52324
Turkiye,TUR,"28.8714837",28.87148
Tuvalu,TUV,"33.33333333",33.33333
Tanzania,TZA,"51.64258298",51.64258
Uganda,UGA,"11.65918612",11.65919
Ukraine,UKR,"16.72419745",16.72420
Upper middle income,UMC,"37.44179077",37.44179
Uruguay,URY,"11.60438807",11.60439
United States,USA,"33.86692641",33.86693
Uzbekistan,UZB,"8.373221378",8.37322
St. Vincent and the Grenadines,VCT,"73.17948718",73.17949
"Venezuela, RB",VEN,"52.41301514",52.41302
British Virgin Islands,VGB,"24.13333333",24.13333
Virgin Islands (U.S.),VIR,"56.88571429",56.88571
Vietnam,VNM,"46.71900175",46.71900
Vanuatu,VUT,"36.28383921",36.28384
World,WLD,,
Samoa,WSM,"58.15467626",58.15468
Kosovo,XKX,,
"Yemen, Rep.",YEM,"1.039831809",1.03983
South Africa,ZAF,"14.05509072",14.05509
Zambia,ZMB,"60.28333714",60.28334
Zimbabwe,ZWE,"45.09391237",45.09391
